date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:17:14	15450/15450	---M--	200	added ('OK')	image/jpeg	etag:%22668a5d5e-3c5a%22	https://themewagon.github.io/kaiadmin-lite/assets/img/mlane.jpg	C:/My%20Web%20Sites/template-bootstrap5/themewagon.github.io/kaiadmin-lite/assets/img/mlane.jpg	(from https://themewagon.github.io/kaiadmin-lite/tables/datatables.html)
22:17:15	2865/2865	---M--	200	added ('OK')	image/jpeg	etag:%22668a5d5e-b31%22	https://themewagon.github.io/kaiadmin-lite/assets/img/talha.jpg	C:/My%20Web%20Sites/template-bootstrap5/themewagon.github.io/kaiadmin-lite/assets/img/talha.jpg	(from https://themewagon.github.io/kaiadmin-lite/tables/datatables.html)
22:17:15	11365/11365	---M--	200	added ('OK')	image/jpeg	etag:%22668a5d5e-2c65%22	https://themewagon.github.io/kaiadmin-lite/assets/img/profile2.jpg	C:/My%20Web%20Sites/template-bootstrap5/themewagon.github.io/kaiadmin-lite/assets/img/profile2.jpg	(from https://themewagon.github.io/kaiadmin-lite/tables/datatables.html)
22:17:15	19934/19934	---M--	200	added ('OK')	image/jpeg	etag:%22668a5d5e-4dde%22	https://themewagon.github.io/kaiadmin-lite/assets/img/profile.jpg	C:/My%20Web%20Sites/template-bootstrap5/themewagon.github.io/kaiadmin-lite/assets/img/profile.jpg	(from https://themewagon.github.io/kaiadmin-lite/tables/datatables.html)
22:17:16	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://themewagon.github.io/kaiadmin-lite/tables/profile.html	C:/My%20Web%20Sites/template-bootstrap5/themewagon.github.io/kaiadmin-lite/tables/profile.html	(from https://themewagon.github.io/kaiadmin-lite/tables/datatables.html)
22:17:16	87533/87533	---M-Z	200	added ('OK')	application/javascript	etag:W/%22668a5d5e-155ed%22	https://themewagon.github.io/kaiadmin-lite/assets/js/core/jquery-3.7.1.min.js	C:/My%20Web%20Sites/template-bootstrap5/themewagon.github.io/kaiadmin-lite/assets/js/core/jquery-3.7.1.min.js	(from https://themewagon.github.io/kaiadmin-lite/tables/datatables.html)
22:17:16	20122/20122	---M-Z	200	added ('OK')	application/javascript	etag:W/%22668a5d5e-4e9a%22	https://themewagon.github.io/kaiadmin-lite/assets/js/core/popper.min.js	C:/My%20Web%20Sites/template-bootstrap5/themewagon.github.io/kaiadmin-lite/assets/js/core/popper.min.js	(from https://themewagon.github.io/kaiadmin-lite/tables/datatables.html)
22:17:16	60577/60577	---M-Z	200	added ('OK')	application/javascript	etag:W/%22668a5d5e-eca1%22	https://themewagon.github.io/kaiadmin-lite/assets/js/core/bootstrap.min.js	C:/My%20Web%20Sites/template-bootstrap5/themewagon.github.io/kaiadmin-lite/assets/js/core/bootstrap.min.js	(from https://themewagon.github.io/kaiadmin-lite/tables/datatables.html)
22:17:16	12248/12248	---M-Z	200	added ('OK')	application/javascript	etag:W/%22668a5d5e-2fd8%22	https://themewagon.github.io/kaiadmin-lite/assets/js/plugin/jquery-scrollbar/jquery.scrollbar.min.js	C:/My%20Web%20Sites/template-bootstrap5/themewagon.github.io/kaiadmin-lite/assets/js/plugin/jquery-scrollbar/jquery.scrollbar.min.js	(from https://themewagon.github.io/kaiadmin-lite/tables/datatables.html)
22:17:17	83898/83898	---M-Z	200	added ('OK')	application/javascript	etag:W/%22668a5d5e-147ba%22	https://themewagon.github.io/kaiadmin-lite/assets/js/plugin/datatables/datatables.min.js	C:/My%20Web%20Sites/template-bootstrap5/themewagon.github.io/kaiadmin-lite/assets/js/plugin/datatables/datatables.min.js	(from https://themewagon.github.io/kaiadmin-lite/tables/datatables.html)
22:17:17	6612/6612	---M-Z	200	added ('OK')	application/javascript	etag:W/%22668a5d5e-19d4%22	https://themewagon.github.io/kaiadmin-lite/assets/js/kaiadmin.min.js	C:/My%20Web%20Sites/template-bootstrap5/themewagon.github.io/kaiadmin-lite/assets/js/kaiadmin.min.js	(from https://themewagon.github.io/kaiadmin-lite/tables/datatables.html)
22:17:17	2936/2936	---M-Z	200	added ('OK')	application/javascript	etag:W/%22668a5d5e-b78%22	https://themewagon.github.io/kaiadmin-lite/assets/js/setting-demo2.js	C:/My%20Web%20Sites/template-bootstrap5/themewagon.github.io/kaiadmin-lite/assets/js/setting-demo2.js	(from https://themewagon.github.io/kaiadmin-lite/tables/datatables.html)
22:17:18	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://themewagon.github.io/kaiadmin-lite/assets/css/owl.video.play.png	C:/My%20Web%20Sites/template-bootstrap5/themewagon.github.io/kaiadmin-lite/assets/css/owl.video.play.png	(from https://themewagon.github.io/kaiadmin-lite/assets/css/plugins.min.css)
22:17:18	26085/26085	---M--	200	added ('OK')	image/png	etag:%22668a5d5e-65e5%22	https://themewagon.github.io/kaiadmin-lite/assets/img/img-shadow.png	C:/My%20Web%20Sites/template-bootstrap5/themewagon.github.io/kaiadmin-lite/assets/img/img-shadow.png	(from https://themewagon.github.io/kaiadmin-lite/assets/css/kaiadmin.min.css)
22:17:19	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264d39a40-24a3%22	https://themewagon.github.io/kaiadmin-lite/tables/index.html	C:/My%20Web%20Sites/template-bootstrap5/themewagon.github.io/kaiadmin-lite/tables/index.html	(from https://themewagon.github.io/kaiadmin-lite/tables/tables.html)
22:17:20	836122/836122	---M--	200	added ('OK')	image/jpeg	etag:%22668a5d5e-cc21a%22	https://themewagon.github.io/kaiadmin-lite/assets/img/bg-404.jpeg	C:/My%20Web%20Sites/template-bootstrap5/themewagon.github.io/kaiadmin-lite/assets/img/bg-404.jpg	(from https://themewagon.github.io/kaiadmin-lite/assets/css/kaiadmin.min.css)
